ID,Sales
T1188341,36318.83376927346
T1188342,36318.83376927346
T1188343,36318.83376927346
T1188344,36318.83376927346
T1188345,36318.83376927346
T1188346,36318.83376927346
T1188347,36318.83376927346
T1188348,36318.83376927346
T1188349,36318.83376927346
T1188350,36318.83376927346
T1188351,36318.83376927346
T1188352,36318.83376927346
T1188353,36318.83376927346
T1188354,36318.83376927346
T1188355,36318.83376927346
T1188356,36318.83376927346
T1188357,36318.83376927346
T1188358,36318.83376927346
T1188359,36318.83376927346
T1188360,36318.83376927346
T1188361,36318.83376927346
T1188362,36318.83376927346
T1188363,36318.83376927346
T1188364,36318.83376927346
T1188365,36318.83376927346
T1188366,36318.83376927346
T1188367,36318.83376927346
T1188368,36318.83376927346
T1188369,36318.83376927346
T1188370,36318.83376927346
T1188371,36318.83376927346
T1188372,36318.83376927346
T1188373,36318.83376927346
T1188374,36318.83376927346
T1188375,36318.83376927346
T1188376,36318.83376927346
T1188377,36318.83376927346
T1188378,36318.83376927346
T1188379,36318.83376927346
T1188380,36318.83376927346
T1188381,36318.83376927346
T1188382,36318.83376927346
T1188383,36318.83376927346
T1188384,36318.83376927346
T1188385,36318.83376927346
T1188386,36318.83376927346
T1188387,36318.83376927346
T1188388,36318.83376927346
T1188389,36318.83376927346
T1188390,36318.83376927346
T1188391,36318.83376927346
T1188392,36318.83376927346
T1188393,36318.83376927346
T1188394,36318.83376927346
T1188395,36318.83376927346
T1188396,36318.83376927346
T1188397,36318.83376927346
T1188398,36318.83376927346
T1188399,36318.83376927346
T1188400,36318.83376927346
T1188401,36318.83376927346
T1188402,45387.31701208244
T1188403,45387.31701208244
T1188404,45387.31701208244
T1188405,45387.31701208244
T1188406,45387.31701208244
T1188407,45387.31701208244
T1188408,45387.31701208244
T1188409,45387.31701208244
T1188410,45387.31701208244
T1188411,45387.31701208244
T1188412,45387.31701208244
T1188413,45387.31701208244
T1188414,45387.31701208244
T1188415,45387.31701208244
T1188416,45387.31701208244
T1188417,45387.31701208244
T1188418,45387.31701208244
T1188419,45387.31701208244
T1188420,45387.31701208244
T1188421,45387.31701208244
T1188422,45387.31701208244
T1188423,45387.31701208244
T1188424,45387.31701208244
T1188425,45387.31701208244
T1188426,45387.31701208244
T1188427,45387.31701208244
T1188428,45387.31701208244
T1188429,45387.31701208244
T1188430,45387.31701208244
T1188431,45387.31701208244
T1188432,45387.31701208244
T1188433,45387.31701208244
T1188434,45387.31701208244
T1188435,45387.31701208244
T1188436,45387.31701208244
T1188437,45387.31701208244
T1188438,45387.31701208244
T1188439,45387.31701208244
T1188440,45387.31701208244
T1188441,45387.31701208244
T1188442,45387.31701208244
T1188443,45387.31701208244
T1188444,45387.31701208244
T1188445,45387.31701208244
T1188446,45387.31701208244
T1188447,45387.31701208244
T1188448,45387.31701208244
T1188449,45387.31701208244
T1188450,45387.31701208244
T1188451,45387.31701208244
T1188452,45387.31701208244
T1188453,45387.31701208244
T1188454,45387.31701208244
T1188455,45387.31701208244
